	movie	year	imdb	metascore	votes
48	Frequency	(2000)	7.4	67	90656
49	Dancer in the Dark	(2000)	8.0	61	88785
50	Bedazzled	(2000)	6.0	49	88282
51	Little Nicky	(2000)	5.3	38	87851
52	The Cell	(2000)	6.3	40	86402
53	Bring It On	(2000)	6.0	52	77424
54	Finding Forrester	(2000)	7.3	62	77131
55	Malèna	(2000)	7.5	54	75086
56	Big Momma's House	(2000)	5.1	33	73174
57	Battlefield Earth	(2000)	2.4	9	70277
58	U-571	(2000)	6.6	62	70247
59	The Road to El Dorado	(2000)	6.9	51	69811
60	Space Cowboys	(2000)	6.4	73	65788
61	Mission to Mars	(2000)	5.6	34	65133
62	Shaft	(2000)	5.9	50	63060
63	Romeo Must Die	(2000)	6.1	52	61277
64	Wonder Boys	(2000)	7.4	73	57428
65	The Gift	(2000)	6.7	62	56578
66	Titan A.E.	(2000)	6.6	48	55059
67	Vertical Limit	(2000)	5.9	48	53489
68	The Crimson Rivers	(2000)	6.9	49	52640
69	The Replacements	(2000)	6.5	30	52453
70	Proof of Life	(2000)	6.2	45	51785
71	Red Planet	(2000)	5.7	34	51050
72	Best in Show	(2000)	7.5	78	49658
73	The Legend of Bagger Vance	(2000)	6.7	47	49189
74	Thirteen Days	(2000)	7.3	67	48953
75	Sexy Beast	(2000)	7.3	79	47859
76	Quills	(2000)	7.3	70	47786
77	Keeping the Faith	(2000)	6.4	60	46988
78	Boiler Room	(2000)	7.0	63	44955
79	Dinosaur	(2000)	6.5	56	44325
80	Nine Queens	(2000)	7.9	80	43742
81	Nutty Professor II: The Klumps	(2000)	4.4	38	43719
82	Rules of Engagement	(2000)	6.4	45	40378
83	28 Days	(2000)	6.0	46	38396
84	The Kid	(2000)	6.1	45	36897
85	Shadow of the Vampire	(2000)	6.9	71	36594
86	Ginger Snaps	(2000)	6.8	70	36447
87	Tigerland	(2000)	7.0	55	35433
88	Reindeer Games	(2000)	5.7	37	33978
89	Small Time Crooks	(2000)	6.7	69	33652
90	Chopper	(2000)	7.2	65	33645
91	Book of Shadows: Blair Witch 2	(2000)	4.0	15	32394
92	Next Friday	(2000)	6.1	41	31906
93	Nurse Betty	(2000)	6.2	69	31314
94	102 Dalmatians	(2000)	4.9	35	29887
95	Get Carter	(2000)	5.1	24	29638
96	Dracula 2000	(2000)	4.9	26	29371
97	Where the Heart Is	(2000)	6.8	30	29234
98	Dungeons & Dragons	(2000)	3.7	14	29225
99	The Way of the Gun	(2000)	6.7	49	29195
100	The Skulls	(2000)	5.6	24	28785
101	The Art of War	(2000)	5.7	30	26747
102	Vampire Hunter D: Bloodlust	(2000)	7.7	62	25489
103	You Can Count on Me	(2000)	7.7	85	25150
104	Pollock	(2000)	7.0	77	24850
105	Loser	(2000)	5.3	35	24461
106	The Watcher	(I) (2000)	5.3	22	23651
107	Autumn in New York	(2000)	5.6	24	22319
108	Before Night Falls	(2000)	7.3	85	22193
109	Joint Security Area	(2000)	7.9	58	22054
110	The Contender	(2000)	7.0	59	21526
111	Brother	(I) (2000)	7.2	47	20017
112	Under Suspicion	(2000)	6.5	43	19850
113	The Million Dollar Hotel	(2000)	5.9	25	19483
114	State and Main	(2000)	6.8	75	19150
115	Together	(2000)	7.5	84	18821
116	Bounce	(2000)	5.7	52	18675
117	In July	(2000)	7.8	71	18566
118	My Dog Skip	(2000)	7.0	61	17827
119	The Adventures of Rocky & Bullwinkle	(2000)	4.2	36	17810
120	The Flintstones in Viva Rock Vegas	(2000)	3.6	27	17740
121	Highlander: Endgame	(2000)	4.6	21	17706
122	Return to Me	(2000)	6.9	54	17667
123	The Yards	(2000)	6.4	58	17654
124	Center Stage	(2000)	6.7	52	16997
125	Flickering Lights	(2000)	7.7	47	16684
126	Dr. T & the Women	(2000)	4.6	64	16461
127	Saving Grace	(2000)	6.9	62	16375
128	Love & Basketball	(2000)	7.2	70	15959
129	Supernova	(I) (2000)	4.8	19	15774
130	Yi Yi	(2000)	8.1	93	15619
131	Rape Me	(2000)	4.5	35	15548
132	Songs from the Second Floor	(2000)	7.7	76	14808
133	The Tigger Movie	(2000)	6.3	53	14764
134	Boys and Girls	(2000)	5.4	29	14700
135	Urban Legends: Final Cut	(2000)	4.2	16	14203
136	The Dish	(2000)	7.2	74	13770
137	The Princess and the Warrior	(2000)	7.6	64	13516
138	Gossip	(I) (2000)	5.9	31	13308
139	The Man Who Cried	(2000)	6.2	40	13279
140	Down to You	(2000)	4.9	13	13133
141	Bless the Child	(2000)	5.1	17	12922
142	Ready to Rumble	(2000)	5.3	23	12560
143	Drowning Mona	(2000)	5.6	25	12361
144	Cecil B. DeMented	(2000)	6.2	57	12198
145	All the Pretty Horses	(2000)	5.8	55	12119
146	Italian for Beginners	(2000)	7.1	77	11986
147	Gangster No. 1	(2000)	6.8	60	11838
148	Animal Factory	(2000)	6.6	65	11527
149	The Ladies Man	(2000)	5.1	22	11437
150	The Isle	(2000)	7.0	61	11183
151	Blood: The Last Vampire	(2000)	6.7	44	10955
152	Hanging Up	(2000)	4.8	33	10921
153	Anatomy	(2000)	6.1	33	10769
154	Werckmeister Harmonies	(2000)	8.2	92	10398
155	Snow Day	(2000)	5.0	34	10274
156	The Next Best Thing	(2000)	4.7	25	9949
157	Code Unknown	(2000)	7.2	74	9876
158	Lost Souls	(2000)	4.8	16	9863
159	Bait	(2000)	5.8	39	9727
160	Rugrats in Paris: The Movie	(2000)	6.2	62	9406
161	The Lord of the Rings: The Fellowship of the Ring	(2001)	8.8	92	1417254
162	A Beautiful Mind	(2001)	8.2	72	722323
163	Monsters, Inc.	(2001)	8.1	78	690490
164	Donnie Darko	(2001)	8.1	88	665422
165	Amélie	(2001)	8.3	69	617382
166	Shrek	(2001)	7.9	84	526905
167	Harry Potter and the Sorcerer's Stone	(2001)	7.6	64	526181
168	Spirited Away	(2001)	8.6	96	511957
169	Ocean's Eleven	(2001)	7.8	74	450857
170	Training Day	(2001)	7.7	69	339882
171	Black Hawk Down	(2001)	7.7	74	324428
172	The Fast and the Furious	(2001)	6.7	58	305451
173	The Others	(2001)	7.6	74	300448
174	Pearl Harbor	(2001)	6.1	44	281602
175	Mulholland Drive	(2001)	8.0	83	275031
176	The Mummy Returns	(2001)	6.3	48	272094
177	A.I. Artificial Intelligence	(2001)	7.1	65	264812
178	Jurassic Park III	(2001)	5.9	42	251662
179	Moulin Rouge!	(2001)	7.6	66	243745
180	The Royal Tenenbaums	(2001)	7.6	76	234717
181	Hannibal	(2001)	6.8	57	227821
182	Vanilla Sky	(2001)	6.9	45	224810
183	Zoolander	(2001)	6.6	61	221967
184	American Pie 2	(2001)	6.4	43	217358
185	Blow	(2001)	7.6	52	216367
186	Enemy at the Gates	(2001)	7.6	53	213511
187	Bridget Jones's Diary	(2001)	6.7	66	195774
188	Planet of the Apes	(2001)	5.7	50	195389
189	Rush Hour 2	(2001)	6.6	48	177208
190	Lara Croft: Tomb Raider	(2001)	5.8	33	177082
191	Swordfish	(2001)	6.5	32	164750
192	K-PAX	(2001)	7.4	49	162490
193	Legally Blonde	(2001)	6.2	59	152463
194	A Knight's Tale	(2001)	6.9	56	151030
195	Jay and Silent Bob Strike Back	(2001)	6.9	51	136921
196	From Hell	(2001)	6.8	54	135031
197	Scary Movie 2	(2001)	5.3	29	132358
198	I Am Sam	(2001)	7.6	28	131904
199	Spy Game	(2001)	7.1	63	130471
200	Shallow Hal	(2001)	5.9	48	117492
201	The Score	(2001)	6.8	71	109522
202	Evolution	(2001)	6.1	40	109370
203	The Princess Diaries	(2001)	6.3	52	108261
204	Ghost World	(2001)	7.4	88	103929
205	Y Tu Mamá También	(2001)	7.7	88	101124
206	Rat Race	(2001)	6.4	52	99608
207	Jeepers Creepers	(2001)	6.2	49	98761
208	Serendipity	(2001)	6.9	52	94590
209	Spy Kids	(2001)	5.5	71	94397
210	The Mexican	(2001)	6.1	43	94021
211	The Man Who Wasn't There	(2001)	7.6	73	93435
212	Behind Enemy Lines	(2001)	6.4	49	92466
213	Not Another Teen Movie	(2001)	5.7	32	87359
214	Lagaan: Once Upon a Time in India	(2001)	8.1	84	86943
215	Atlantis: The Lost Empire	(2001)	6.8	52	85905
216	Super Troopers	(2001)	7.1	48	85358
217	Ali	(2001)	6.8	65	85297
218	The Experiment	(2001)	7.7	60	84947
219	The One	(2001)	5.9	25	83226
220	Sweet November	(2001)	6.7	27	77081
221	Final Fantasy: The Spirits Within	(2001)	6.4	49	76531
222	Monster's Ball	(2001)	7.1	69	76408
223	Kate & Leopold	(2001)	6.4	44	71189
224	Thir13en Ghosts	(2001)	5.6	30	71082
225	Gosford Park	(2001)	7.3	90	70620
226	Frailty	(2001)	7.3	64	67937
227	The Wedding Planner	(2001)	5.3	33	67878
228	Along Came a Spider	(2001)	6.3	42	64921
229	Shaolin Soccer	(2001)	7.3	68	64492
230	The Last Castle	(2001)	6.9	43	62097
231	Bandits	(2001)	6.5	60	60681
232	Joy Ride	(2001)	6.6	75	58036
233	Brotherhood of the Wolf	(2001)	7.1	57	56573
234	Kiss of the Dragon	(2001)	6.6	58	56566
235	Waking Life	(2001)	7.8	82	54905
236	The Devil's Backbone	(2001)	7.5	78	54548
237	Save the Last Dance	(2001)	6.2	53	52162
238	The Animal	(2001)	4.8	43	51619
239	Cats & Dogs	(2001)	5.1	47	50789
240	America's Sweethearts	(2001)	5.7	44	50754
241	Original Sin	(2001)	6.0	33	48758
242	The Majestic	(2001)	6.9	27	48280
243	Session 9	(2001)	6.5	58	48007
244	How High	(2001)	6.3	29	47850
245	The Pledge	(I) (2001)	6.8	71	47359
246	Heartbreakers	(2001)	6.2	47	47317
247	Wet Hot American Summer	(2001)	6.7	42	47294
248	Ichi the Killer	(2001)	7.1	55	46668
249	Ghosts of Mars	(2001)	4.9	35	46485
250	The Piano Teacher	(2001)	7.5	79	46095
251	Joe Dirt	(2001)	5.9	20	45610
252	15 Minutes	(2001)	6.1	34	45283
253	Formula 51	(2001)	6.3	23	45056
254	Don't Say a Word	(2001)	6.3	38	43983
255	Jason X	(2001)	4.4	25	43754
256	Freddy Got Fingered	(2001)	4.5	13	42416
257	Life as a House	(2001)	7.5	45	40980
258	No Man's Land	(I) (2001)	8.0	84	40702
259	3000 Miles to Graceland	(2001)	5.9	21	40573
260	Dr. Dolittle 2	(2001)	4.7	49	37592
261	Rock Star	(2001)	6.2	54	37415
262	Cowboy Bebop: The Movie	(2001)	7.9	61	36671
263	Driven	(2001)	4.6	29	36493
264	Saving Silverman	(2001)	5.9	22	35612
265	The Curse of the Jade Scorpion	(2001)	6.8	52	34730
266	In the Bedroom	(2001)	7.4	86	34467
267	Black Knight	(2001)	4.8	32	34036
268	The Believer	(2001)	7.2	75	33434
269	Hearts in Atlantis	(2001)	6.9	55	32989
270	Wasabi	(2001)	6.7	53	32804
271	Mean Machine	(2001)	6.5	45	32088
272	Sex and Lucia	(2001)	7.2	65	31980
273	Bully	(2001)	7.0	45	31483
274	The Shipping News	(2001)	6.8	47	30275
275	Captain Corelli's Mandolin	(2001)	5.9	36	30193
276	Heist	(2001)	6.5	66	30049
277	Exit Wounds	(2001)	5.5	39	29403
278	Hedwig and the Angry Inch	(2001)	7.8	85	28446
279	Osmosis Jones	(2001)	6.3	57	28237
280	The Glass House	(2001)	5.8	34	27962
281	Bubble Boy	(2001)	5.6	41	27639
282	One Night at McCool's	(2001)	6.1	46	26963
283	Jimmy Neutron: Boy Genius	(2001)	6.0	65	26847
284	Antitrust	(2001)	6.1	31	26839
285	The Tailor of Panama	(2001)	6.1	66	25622
286	Hardball	(2001)	6.4	48	25290
287	Riding in Cars with Boys	(2001)	6.5	43	24476
288	Birthday Girl	(2001)	6.1	51	22813
289	Domestic Disturbance	(2001)	5.5	29	22729
290	Crazy/Beautiful	(2001)	6.5	61	22573
291	Valentine	(2001)	4.8	18	22075
292	Buffalo Soldiers	(2001)	6.9	56	21756
293	Someone Like You...	(2001)	6.1	32	21590
294	Crocodile Dundee in Los Angeles	(2001)	4.8	37	21509
295	Monsoon Wedding	(2001)	7.4	77	21392
296	Impostor	(2001)	6.2	33	21197
297	Knockaround Guys	(2001)	6.1	30	20863
298	Angel Eyes	(2001)	5.6	39	20657
299	Glitter	(2001)	2.2	14	20336
300	Down to Earth	(2001)	5.4	32	20105
301	Josie and the Pussycats	(2001)	5.4	47	19985
302	Enigma	(2001)	6.4	64	18771
303	Lost and Delirious	(2001)	7.0	53	18394
304	Metropolis	(2001)	7.3	75	18390
305	O	(2001)	6.2	53	18148
306	Millennium Actress	(2001)	7.9	70	18042
307	Lantana	(2001)	7.3	84	17362
308	Tape	(2001)	7.3	71	17098
309	Just Visiting	(2001)	5.8	38	16547
310	Get Over It	(2001)	5.8	52	16520
311	Human Nature	(2001)	6.4	56	16336
312	Tomcats	(2001)	5.3	15	16226
313	Storytelling	(2001)	6.9	50	16097
314	The Son's Room	(2001)	7.4	73	15976
315	Made	(2001)	6.4	62	15828
316	Iris	(I) (2001)	7.1	76	15805
317	Out Cold	(2001)	6.3	22	15400
318	Monkeybone	(2001)	4.7	40	15374
319	The Closet	(2001)	7.1	72	15179
320	Kissing Jessica Stein	(2001)	6.6	72	14854
321	Summer Catch	(2001)	5.0	21	13895
322	Pulse	(2001)	6.6	70	13624
323	What's the Worst That Could Happen?	(2001)	5.5	37	13624
324	The Musketeer	(2001)	4.7	27	13380
325	Son of the Bride	(2001)	7.9	68	13141
326	The Lord of the Rings: The Two Towers	(2002)	8.7	87	1265922
327	Catch Me If You Can	(2002)	8.1	75	659373
328	City of God	(2002)	8.6	79	608799
329	Spider-Man	(2002)	7.3	73	608108
330	The Pianist	(2002)	8.5	85	593744
331	Star Wars: Episode II - Attack of the Clones	(2002)	6.6	54	542431
332	The Bourne Identity	(2002)	7.9	68	456228
333	Harry Potter and the Chamber of Secrets	(2002)	7.4	63	455474
334	Minority Report	(2002)	7.7	80	446872
335	Ice Age	(2002)	7.5	60	373493
336	Gangs of New York	(2002)	7.5	72	354084
337	28 Days Later...	(2002)	7.6	73	331204
338	Signs	(2002)	6.7	59	300161
339	Men in Black II	(2002)	6.1	49	294041
340	Equilibrium	(2002)	7.5	33	285292
341	The Ring	(2002)	7.1	57	284700
342	The Transporter	(2002)	6.8	51	259763
343	Insomnia	(2002)	7.2	78	243433
344	Phone Booth	(2002)	7.1	56	228209
345	Panic Room	(2002)	6.8	65	227553
346	Resident Evil	(2002)	6.7	33	222719
347	Red Dragon	(2002)	7.2	60	222436
348	Road to Perdition	(2002)	7.7	72	220152
349	8 Mile	(2002)	7.1	77	214988
350	Chicago	(2002)	7.2	82	192312
351	Die Another Day	(2002)	6.1	56	184281
352	A Walk to Remember	(2002)	7.4	35	180404
353	Blade II	(2002)	6.7	52	177789
354	Austin Powers in Goldmember	(2002)	6.2	62	176668
355	Hero	(2002)	7.9	85	161068
356	xXx	(2002)	5.9	48	160108
357	25th Hour	(2002)	7.7	67	158995
358	Adaptation.	(2002)	7.7	83	158854
359	About a Boy	(2002)	7.1	75	154496
360	Lilo & Stitch	(2002)	7.2	73	138645
361	Bowling for Columbine	(2002)	8.0	72	131284
362	Punch-Drunk Love	(2002)	7.3	78	124621
363	Mr. Deeds	(2002)	5.8	24	121766
364	Reign of Fire	(2002)	6.2	39	115762
365	We Were Soldiers	(2002)	7.2	65	115689
366	The Count of Monte Cristo	(2002)	7.8	61	114969
367	The Scorpion King	(2002)	5.5	45	114645
368	About Schmidt	(2002)	7.2	85	114374
369	The Hours	(2002)	7.6	80	112199
370	My Big Fat Greek Wedding	(2002)	6.6	62	110303
371	John Q	(2002)	7.1	30	109993
372	The Time Machine	(2002)	5.9	42	109967
373	Infernal Affairs	(2002)	8.1	75	107843
374	One Hour Photo	(2002)	6.8	64	104718
375	Irreversible	(2002)	7.4	51	99301
376	Bend It Like Beckham	(2002)	6.7	66	96528
377	Van Wilder: Party Liaison	(2002)	6.4	26	95350
378	Two Weeks Notice	(2002)	6.1	42	94226
379	Talk to Her	(2002)	8.0	86	94017
380	The Sum of All Fears	(2002)	6.4	45	93314
381	Sweet Home Alabama	(2002)	6.2	45	91714
382	Treasure Planet	(2002)	7.1	60	84261
383	Ghost Ship	(2002)	5.5	28	82886
384	The Hot Chick	(2002)	5.5	29	81566
385	Scooby-Doo	(2002)	5.0	35	81534
386	Confessions of a Dangerous Mind	(2002)	7.1	67	76600
387	Analyze That	(2002)	5.9	37	75330
388	Maid in Manhattan	(2002)	5.1	45	75215
389	Secretary	(2002)	7.0	63	74320
390	Jackass: The Movie	(2002)	6.6	42	73905
391	Solaris	(2002)	6.2	65	72596
392	Frida	(2002)	7.4	61	70554
393	Unfaithful	(2002)	6.7	63	70339
394	The Tuxedo	(2002)	5.3	30	69619
395	The Mothman Prophecies	(2002)	6.5	52	68823
396	Cabin Fever	(2002)	5.6	56	67650
397	Collateral Damage	(2002)	5.5	33	66303
398	40 Days and 40 Nights	(2002)	5.6	53	65502
399	Star Trek: Nemesis	(2002)	6.4	51	64727
400	Changing Lanes	(2002)	6.5	69	61734
401	Windtalkers	(2002)	6.0	51	60296
402	Showtime	(2002)	5.5	32	55982
403	S1m0ne	(2002)	6.1	49	55099
404	K-19: The Widowmaker	(2002)	6.7	58	53523
405	Spirit: Stallion of the Cimarron	(2002)	7.1	52	53327
406	Sympathy for Mr. Vengeance	(2002)	7.7	56	53062
407	Spy Kids 2: Island of Lost Dreams	(2002)	5.1	66	51364
408	The Sweetest Thing	(2002)	5.1	32	50042
409	Queen of the Damned	(2002)	5.3	30	47790
410	Eight Legged Freaks	(2002)	5.4	53	47606
411	Murder by Numbers	(2002)	6.1	50	47578
412	Hart's War	(2002)	6.3	49	47037
413	The Rules of Attraction	(2002)	6.7	50	46630
414	I Spy	(2002)	5.4	35	44850
415	Orange County	(2002)	6.2	48	43804
416	Stuart Little 2	(2002)	5.5	66	42540
417	Bad Company	(2002)	5.6	37	42116
418	Bubba Ho-Tep	(2002)	7.1	57	41704
419	The Santa Clause 2	(2002)	5.6	48	41269
420	Kung Pow: Enter the Fist	(2002)	6.2	14	40437
421	The Good Girl	(2002)	6.5	71	40410
422	Far from Heaven	(2002)	7.4	84	39521
423	Lilya 4-Ever	(2002)	7.9	82	38518
424	In America	(2002)	7.8	76	38345
425	Blood Work	(2002)	6.4	64	37711
426	Dirty Pretty Things	(2002)	7.4	78	37449
427	L'auberge espagnole	(2002)	7.3	65	36716
428	Whale Rider	(2002)	7.6	80	36597
429	Death to Smoochy	(2002)	6.4	38	36362
430	Narc	(2002)	7.2	70	35986
431	Crossroads	(I) (2002)	3.4	27	35823
432	Ju-on: The Grudge	(2002)	6.7	48	35480
433	Enough	(I) (2002)	5.7	25	34224
434	High Crimes	(2002)	6.3	48	33994
435	Spun	(2002)	6.8	41	33971
436	Dragonfly	(2002)	6.1	25	33886
437	Spider	(2002)	6.8	83	32627
438	Big Fat Liar	(2002)	5.4	36	31405
439	Undercover Brother	(2002)	5.8	69	31202
440	The New Guy	(2002)	5.9	24	30866
441	Drumline	(2002)	5.7	63	30808
442	Femme Fatale	(2002)	6.3	59	30707
443	Halloween: Resurrection	(2002)	4.1	19	30510
444	Igby Goes Down	(2002)	7.0	72	30333
445	The Four Feathers	(2002)	6.5	49	30121
446	May	(2002)	6.7	58	29479
447	24 Hour Party People	(2002)	7.4	85	29298
448	Antwone Fisher	(2002)	7.3	62	29231
449	The Rookie	(2002)	7.0	72	28823
450	Boat Trip	(2002)	4.9	18	28402
451	The Salton Sea	(2002)	7.2	41	27963
452	Blue Crush	(2002)	5.7	61	27712
453	White Oleander	(2002)	7.2	61	27321
454	Barbershop	(2002)	6.3	66	26677
455	The Eye	(2002)	6.7	66	26212
456	8 Women	(2002)	7.1	64	25966
457	Undisputed	(2002)	6.2	58	25531
458	The Quiet American	(2002)	7.1	84	25339
459	Rabbit-Proof Fence	(2002)	7.5	80	25168
460	The Magdalene Sisters	(2002)	7.8	83	23936
461	Hollywood Ending	(2002)	6.6	46	23719
462	Rollerball	(2002)	3.0	14	23389
463	City by the Sea	(2002)	6.1	50	22681
464	Snow Dogs	(2002)	5.1	29	22485
465	Friday After Next	(2002)	5.8	35	22428
466	The Adventures of Pluto Nash	(2002)	3.8	12	21764
467	Heaven	(I) (2002)	7.1	68	21689
468	Bloody Sunday	(2002)	7.7	90	21390
469	Life or Something Like It	(2002)	5.8	31	21231
470	Trapped	(I) (2002)	6.2	42	21161
471	The Importance of Being Earnest	(2002)	6.9	60	20408
472	The Twilight Samurai	(2002)	8.1	82	19744
473	Eight Crazy Nights	(2002)	5.3	23	19584
474	The Man Without a Past	(2002)	7.7	84	19577
475	Tuck Everlasting	(2002)	6.7	66	19439
476	The Master of Disguise	(2002)	3.3	12	19421
477	Below	(2002)	6.2	55	19244
478	Dark Blue	(2002)	6.6	57	18696
479	Big Trouble	(2002)	6.5	47	18514
480	Feardotcom	(2002)	3.3	16	18153
481	Darkness	(2002)	5.4	15	17703
482	Ballistic: Ecks vs. Sever	(2002)	3.6	19	17596
483	Swimfan	(2002)	5.0	29	17466
484	He Loves Me... He Loves Me Not	(2002)	7.2	63	17330
485	Like Mike	(2002)	5.2	47	16753
486	Divine Secrets of the Ya-Ya Sisterhood	(2002)	6.0	48	16480
487	Russian Ark	(2002)	7.4	86	16340
488	Gerry	(2002)	6.2	54	16293
489	Roger Dodger	(2002)	7.0	75	16011
490	Serving Sara	(2002)	5.3	18	15416
491	The Emperor's Club	(2002)	6.9	49	15384
492	Peter Pan II: Return to Neverland	(2002)	5.8	49	15371
493	Distant	(2002)	7.7	84	14762
494	Laurel Canyon	(2002)	6.4	61	14464
495	Dolls	(2002)	7.7	71	14448
496	The Guru	(2002)	5.4	47	14118
497	The Lord of the Rings: The Return of the King	(2003)	8.9	94	1399811
498	Pirates of the Caribbean: The Curse of the Black Pearl	(2003)	8.0	63	919532
499	Kill Bill: Vol. 1	(2003)	8.1	69	850490
500	Finding Nemo	(2003)	8.1	90	814221
501	The Matrix Reloaded	(2003)	7.2	62	459199
502	X-Men 2	(2003)	7.5	68	457394
503	Oldboy	(2003)	8.4	74	427330
504	Matrix Revolutions	(2003)	6.7	47	398303
505	Big Fish	(2003)	8.0	58	378205
506	Mystic River	(2003)	8.0	84	372884
507	Love Actually	(2003)	7.6	55	362142
508	Lost in Translation	(2003)	7.8	89	357545
509	The Last Samurai	(2003)	7.7	55	352394
510	Terminator 3: Rise of the Machines	(2003)	6.3	66	335560
511	Bruce Almighty	(2003)	6.7	46	330426
512	The Italian Job	(2003)	7.0	68	310716
513	School of Rock	(2003)	7.1	82	232103
514	Underworld	(2003)	7.0	42	231231
515	Hulk	(2003)	5.7	54	231092
516	2 Fast 2 Furious	(2003)	5.9	38	219053
517	21 Grams	(2003)	7.7	70	205698
518	Identity	(2003)	7.3	64	199404
519	Old School	(2003)	7.1	54	197822
520	Bad Boys II	(2003)	6.6	38	197008
521	Daredevil	(2003)	5.3	42	190903
522	Anger Management	(2003)	6.2	52	184912
523	Master and Commander: The Far Side of the World	(2003)	7.4	81	183565
524	How to Lose a Guy in 10 Days	(2003)	6.4	45	179630
525	American Wedding	(2003)	6.3	43	176192
526	Elf	(2003)	6.9	64	173533
527	The League of Extraordinary Gentlemen	(2003)	5.8	30	152282
528	Once Upon a Time in Mexico	(2003)	6.4	56	140485
529	Final Destination 2	(2003)	6.2	38	133782
530	S.W.A.T.	(2003)	6.0	45	127948
531	Cold Mountain	(2003)	7.2	73	127860
532	Johnny English	(2003)	6.2	51	125509
533	Good Bye Lenin!	(2003)	7.7	68	124908
534	Scary Movie 3	(2003)	5.5	49	122731
535	Bad Santa	(2003)	7.1	70	122614
536	The Recruit	(2003)	6.6	56	121247
537	Dogville	(2003)	8.0	60	119876
538	Monster	(2003)	7.3	74	118730
539	The Texas Chainsaw Massacre	(2003)	6.2	38	118211
540	Lara Croft Tomb Raider: The Cradle of Life	(2003)	5.5	43	116013
541	Matchstick Men	(2003)	7.3	61	114619
542	Freaky Friday	(2003)	6.2	70	109139
543	Charlie's Angels: Full Throttle	(2003)	4.9	48	108825
544	Tears of the Sun	(2003)	6.6	48	102272
545	Something's Gotta Give	(2003)	6.7	66	99438
546	Freddy vs. Jason	(2003)	5.8	37	98323
547	The Life of David Gale	(2003)	7.6	31	97759
548	Gothika	(2003)	5.8	38	96983
549	Wrong Turn	(I) (2003)	6.1	32	96814
550	Paycheck	(2003)	6.3	43	95561
551	The Dreamers	(2003)	7.2	62	94460
552	Memories of Murder	(2003)	8.1	82	90579
553	Shanghai Knights	(2003)	6.2	58	89968
554	The Rundown	(2003)	6.7	59	89649
555	Cheaper by the Dozen	(2003)	5.8	46	83267
556	The Core	(2003)	5.5	48	83266
557	Runaway Jury	(2003)	7.1	61	82836
558	Intolerable Cruelty	(2003)	6.3	71	82723
559	Dreamcatcher	(2003)	5.5	35	82032
560	Brother Bear	(2003)	6.8	48	81142
561	Elephant	(2003)	7.2	70	77321
562	Thirteen	(2003)	6.8	70	73766
563	Spring, Summer, Fall, Winter... and Spring	(2003)	8.1	85	68758
564	Mona Lisa Smile	(2003)	6.5	45	68054
565	House of 1000 Corpses	(2003)	6.1	31	66437
566	Holes	(2003)	7.1	71	66318
567	Girl with a Pearl Earring	(2003)	6.9	72	65835
568	Ong-Bak: The Thai Warrior	(2003)	7.2	69	65352
569	The Room	(2003)	3.6	9	63131
570	The Station Agent	(2003)	7.7	81	62297
571	Just Married	(2003)	5.5	28	62110
